>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346
>AT1G58320 | Symbols:  | PLAC8 family protein | chr1:21634123-21635303 REVERSE LENGTH=148

>AT1G30800 | Symbols:  | Fasciclin-like arabinogalactan family protein | chr1:10936995-10937714 FORWARD LENGTH=239

>AT1G01280 | Symbols: CYP703A2, CYP703 | cytochrome P450, family 703, subfamily A, polypeptide 2 | chr1:112290-113905 FORWARD LENGTH=510

>AT1G58290 | Symbols: HEMA1 | Glutamyl-tRNA reductase family protein | chr1:21624028-21626051 REVERSE LENGTH=543

>AT1G33350 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:12090071-12091687 REVERSE LENGTH=538

>AT1G52330 | Symbols:  | Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family | chr1:19488962-19489763 FORWARD LENGTH=214

>AT1G52325 | Symbols:  | Initiation factor eIF-4 gamma, MA3 | chr1:19487793-19488418 REVERSE LENGTH=145

>AT1G58300 | Symbols: HO4 | heme oxygenase 4 | chr1:21628015-21629996 REVERSE LENGTH=283

>AT1G30810 | Symbols:  | Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein | chr1:10938139-10941505 REVERSE LENGTH=819

>AT1G52290 | Symbols:  | Protein kinase superfamily protein | chr1:19470251-19472362 REVERSE LENGTH=509

>AT1G10190 | Symbols:  | Protein of Unknown Function (DUF239) | chr1:3343765-3345591 REVERSE LENGTH=396

>AT1G48900 | Symbols:  | Signal recognition particle, SRP54 subunit protein | chr1:18084972-18087743 REVERSE LENGTH=495

>AT1G16840 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G78890.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr1:5763111-5763984 REVERSE LENGTH=161

>AT1G02550 | Symbols:  | Plant invertase/pectin methylesterase inhibitor superfamily protein | chr1:536483-537211 FORWARD LENGTH=242

>AT1G21950 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G21940.1); Has 10 Blast hits to 10 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 10; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:7723471-7723863 REVERSE LENGTH=130

>AT1G26200 | Symbols:  | TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein | chr1:9063471-9064914 REVERSE LENGTH=312

>AT1G02560 | Symbols: CLPP5, NCLPP5, NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298

>AT1G10220 | Symbols:  | BEST Arabidopsis thaliana protein match is: ZCF37 (TAIR:AT1G59590.1); Has 43 Blast hits to 43 proteins in 15 species: Archae - 0; Bacteria - 2; Metazoa - 7; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink). | chr1:3352159-3354690 FORWARD LENGTH=267

>AT1G24120 | Symbols: ARL1 | ARG1-like 1 | chr1:8529283-8531946 REVERSE LENGTH=436

>AT1G24110 | Symbols:  | Peroxidase superfamily protein | chr1:8527838-8528818 FORWARD LENGTH=326

>AT1G24100 | Symbols: UGT74B1 | UDP-glucosyl transferase 74B1 | chr1:8525547-8527010 REVERSE LENGTH=460

>AT1G02540 | Symbols:  | unknown protein; Has 3327 Blast hits to 2216 proteins in 265 species: Archae - 18; Bacteria - 202; Metazoa - 802; Fungi - 283; Plants - 84; Viruses - 187; Other Eukaryotes - 1751 (source: NCBI BLink). | chr1:534827-535699 REVERSE LENGTH=290

>AT1G22460 | Symbols:  | O-fucosyltransferase family protein | chr1:7927530-7930351 REVERSE LENGTH=565

>AT1G16830 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:5760793-5762619 FORWARD LENGTH=608

>AT1G21940 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G21950.1); Has 19 Blast hits to 12 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 19; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:7715170-7716975 REVERSE LENGTH=183

>AT1G30820 | Symbols:  | CTP synthase family protein | chr1:10945251-10948825 REVERSE LENGTH=600

>AT1G33390 | Symbols: ATFAS4, FAS4 | RNA helicase family protein | chr1:12099738-12104108 REVERSE LENGTH=1237

>AT1G26190 | Symbols:  | Phosphoribulokinase / Uridine kinase family | chr1:9057285-9060433 REVERSE LENGTH=674

>AT1G10230 | Symbols: ASK18, SK18 | SKP1-like 18 | chr1:3355600-3356151 FORWARD LENGTH=183

>AT1G10240 | Symbols: FRS11 | FAR1-related sequence 11 | chr1:3356835-3359271 REVERSE LENGTH=680

>AT1G52360 | Symbols:  | Coatomer, beta' subunit | chr1:19499282-19505397 FORWARD LENGTH=926

>AT1G02570 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G02575.1); Has 108 Blast hits to 55 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 108; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:541380-542216 FORWARD LENGTH=278

>AT1G80510 | Symbols:  | Transmembrane amino acid transporter family protein | chr1:30273100-30274569 FORWARD LENGTH=489

>AT1G02620 | Symbols:  | Ras-related small GTP-binding family protein | chr1:557092-557668 FORWARD LENGTH=122

>AT1G22010 | Symbols:  | unknown protein; Has 12 Blast hits to 12 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 12; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:7749571-7750062 FORWARD LENGTH=163

>AT1G02610 | Symbols:  | RING/FYVE/PHD zinc finger superfamily protein | chr1:553181-555854 REVERSE LENGTH=221

>AT1G02590 | Symbols:  | Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding protein | chr1:552138-552761 REVERSE LENGTH=89

>AT1G78360 | Symbols: ATGSTU21, GSTU21 | glutathione S-transferase TAU 21 | chr1:29482070-29482966 REVERSE LENGTH=222

>AT1G78370 | Symbols: ATGSTU20, GSTU20 | glutathione S-transferase TAU 20 | chr1:29484428-29485204 REVERSE LENGTH=217

>AT1G02630 | Symbols:  | Nucleoside transporter family protein | chr1:561007-562382 REVERSE LENGTH=389

>AT1G52280 | Symbols: AtRABG3d, RABG3d | RAB GTPase homolog G3D | chr1:19468150-19469449 REVERSE LENGTH=206

>AT1G78380 | Symbols: ATGSTU19, GST8, GSTU19 | glutathione S-transferase TAU 19 | chr1:29486659-29487819 REVERSE LENGTH=219

>AT1G80520 | Symbols:  | Sterile alpha motif (SAM) domain-containing protein | chr1:30276481-30277059 FORWARD LENGTH=192

>AT1G22000 | Symbols:  | FBD, F-box and Leucine Rich Repeat domains containing protein | chr1:7744189-7747123 FORWARD LENGTH=717

>AT1G10200 | Symbols: WLIM1 | GATA type zinc finger transcription factor family protein | chr1:3346677-3347763 REVERSE LENGTH=190

>AT1G02580 | Symbols: MEA, EMB173, FIS1, SDG5 | SET domain-containing protein | chr1:544796-548994 FORWARD LENGTH=689

>AT1G21960 | Symbols:  | RING/U-box superfamily protein | chr1:7725972-7726586 FORWARD LENGTH=204

>AT1G10210 | Symbols: ATMPK1, MPK1 | mitogen-activated protein kinase 1 | chr1:3349579-3350776 FORWARD LENGTH=370

>AT1G80500 | Symbols:  | SNARE-like superfamily protein | chr1:30271195-30272431 FORWARD LENGTH=135

>AT1G21980 | Symbols: ATPIP5K1, ATPIPK1, PIP5K1 | phosphatidylinositol-4-phosphate 5-kinase 1 | chr1:7735053-7738309 FORWARD LENGTH=752

>AT1G21970 | Symbols: LEC1, EMB 212, EMB212, NF-YB9 | Histone superfamily protein | chr1:7727750-7729571 REVERSE LENGTH=238

>AT1G21990 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:7740530-7742106 REVERSE LENGTH=465

>AT1G49830 | Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:18445111-18446659 REVERSE LENGTH=250

>AT1G24090 | Symbols:  | RNase H family protein | chr1:8520834-8522737 FORWARD LENGTH=353

>AT1G78420 | Symbols:  | RING/U-box superfamily protein | chr1:29505278-29507272 FORWARD LENGTH=401

>AT1G30700 | Symbols:  | FAD-binding Berberine family protein | chr1:10892623-10894437 FORWARD LENGTH=527

>AT1G16850 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to salt stress; LOCATED IN: endomembrane system; EXPRESSED IN: leaf apex, leaf whorl, male gametophyte, flower, leaf; EXPRESSED DURING: LP.06 six leaves visible, LP.04 four leaves visible, LP.10 ten leaves visible, petal differentiation and expansion stage, LP.08 eight leaves visible; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G64820.1); Has 24 Blast hits to 24 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 24; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:5765062-5765618 REVERSE LENGTH=152

>AT1G48960 | Symbols:  | Adenine nucleotide alpha hydrolases-like superfamily protein | chr1:18112552-18113550 FORWARD LENGTH=219

>AT1G02660 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:572187-574746 REVERSE LENGTH=713

>AT1G16860 | Symbols:  | Ubiquitin-specific protease family C19-related protein | chr1:5768280-5770183 FORWARD LENGTH=474

>AT1G23980 | Symbols:  | RING/U-box superfamily protein | chr1:8484879-8485988 REVERSE LENGTH=369

>AT1G02670 | Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:576046-580299 FORWARD LENGTH=678

>AT1G23970 | Symbols:  | Protein of unknown function (DUF626) | chr1:8482145-8483829 REVERSE LENGTH=373

>AT1G26310 | Symbols: CAL, CAL1, AGL10 | K-box region and MADS-box transcription factor family protein  | chr1:9100330-9103510 REVERSE LENGTH=255

>AT1G01180 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:75633-76556 FORWARD LENGTH=307

>AT1G02650 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:568704-570418 FORWARD LENGTH=513

>AT1G26290 | Symbols:  | unknown protein; Has 126 Blast hits to 112 proteins in 36 species: Archae - 0; Bacteria - 6; Metazoa - 14; Fungi - 3; Plants - 14; Viruses - 0; Other Eukaryotes - 89 (source: NCBI BLink). | chr1:9098051-9098555 FORWARD LENGTH=142

>AT1G01190 | Symbols: CYP78A8 | cytochrome P450, family 78, subfamily A, polypeptide 8 | chr1:83045-84864 REVERSE LENGTH=535

>AT1G30740 | Symbols:  | FAD-binding Berberine family protein | chr1:10903029-10904630 FORWARD LENGTH=533

>AT1G30690 | Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr1:10888284-10890085 FORWARD LENGTH=540

>AT1G30730 | Symbols:  | FAD-binding Berberine family protein | chr1:10900854-10902434 FORWARD LENGTH=526

>AT1G30720 | Symbols:  | FAD-binding Berberine family protein | chr1:10898197-10899780 FORWARD LENGTH=527

>AT1G79350 | Symbols: EMB1135 | RING/FYVE/PHD zinc finger superfamily protein | chr1:29844829-29853215 REVERSE LENGTH=1295

>AT1G30710 | Symbols:  | FAD-binding Berberine family protein | chr1:10895280-10896875 FORWARD LENGTH=531

>AT1G79530 | Symbols: GAPCP-1 | glyceraldehyde-3-phosphate dehydrogenase of plastid 1 | chr1:29916232-29919088 REVERSE LENGTH=422

>AT1G01170 | Symbols:  | Protein of unknown function (DUF1138) | chr1:74105-74443 REVERSE LENGTH=83

>AT1G16870 | Symbols:  | mitochondrial 28S ribosomal protein S29-related | chr1:5770964-5773157 REVERSE LENGTH=480

>AT1G10130 | Symbols: ECA3, ATECA3 | endoplasmic reticulum-type calcium-transporting ATPase 3 | chr1:3311139-3321941 FORWARD LENGTH=998

>AT1G22020 | Symbols: SHM6 | serine hydroxymethyltransferase 6 | chr1:7754599-7757087 FORWARD LENGTH=599

>AT1G02720 | Symbols: GATL5 | galacturonosyltransferase 5 | chr1:592115-593200 FORWARD LENGTH=361

>AT1G02710 | Symbols:  | glycine-rich protein | chr1:589706-589996 REVERSE LENGTH=96

>AT1G02700 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02140.1); Has 49 Blast hits to 49 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 10; Fungi - 6; Plants - 29; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink). | chr1:588367-589232 FORWARD LENGTH=247

>AT1G52370 | Symbols:  | Ribosomal protein L22p/L17e family protein | chr1:19507052-19508699 FORWARD LENGTH=269

>AT1G23950 | Symbols:  | Protein of unknown function (DUF626) | chr1:8469712-8471353 REVERSE LENGTH=368

>AT1G16880 | Symbols:  | uridylyltransferase-related | chr1:5773796-5776125 FORWARD LENGTH=290

>AT1G52380 | Symbols:  | NUP50 (Nucleoporin 50 kDa) protein | chr1:19509979-19511301 FORWARD LENGTH=440

>AT1G72760 | Symbols:  | Protein kinase superfamily protein | chr1:27385421-27388274 REVERSE LENGTH=697

>AT1G01200 | Symbols: ATRABA3, ATRAB-A3, RABA3 | RAB GTPase homolog A3 | chr1:86715-88145 REVERSE LENGTH=237

>AT1G10100 | Symbols:  | unknown protein; Has 9 Blast hits to 9 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 9; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:3300697-3301489 REVERSE LENGTH=162

>AT1G02680 | Symbols: TAF13 | TBP-associated factor 13 | chr1:581084-581919 FORWARD LENGTH=126

>AT1G23960 | Symbols:  | Protein of unknown function (DUF626) | chr1:8478627-8480006 REVERSE LENGTH=302

>AT1G30680 | Symbols:  | toprim domain-containing protein | chr1:10881665-10886060 FORWARD LENGTH=709

>AT1G28960 | Symbols: ATNUDT15, ATNUDX15, NUDX15 | nudix hydrolase homolog 15 | chr1:10110135-10111607 REVERSE LENGTH=293

>AT1G02690 | Symbols: IMPA-6 | importin alpha isoform 6 | chr1:584397-587036 FORWARD LENGTH=538

>AT1G22015 | Symbols: DD46 | Galactosyltransferase family protein | chr1:7751225-7753425 REVERSE LENGTH=398

>AT1G10110 | Symbols:  | F-box family protein | chr1:3302940-3303938 FORWARD LENGTH=332

>AT1G10120 | Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:3304228-3305984 REVERSE LENGTH=366

>AT1G02640 | Symbols: BXL2, ATBXL2 | beta-xylosidase 2 | chr1:564293-567580 FORWARD LENGTH=768

>AT1G01210 | Symbols:  | DNA-directed RNA polymerase, subunit M, archaeal | chr1:88977-89529 FORWARD LENGTH=106

>AT1G01220 | Symbols: FKGP, AtFKGP | L-fucokinase/GDP-L-fucose pyrophosphorylase | chr1:91750-95552 FORWARD LENGTH=1055

>AT1G48930 | Symbols: AtGH9C1, GH9C1 | glycosyl hydrolase 9C1 | chr1:18101782-18104587 REVERSE LENGTH=627

>AT1G01225 | Symbols:  | NC domain-containing protein-related | chr1:96064-97242 FORWARD LENGTH=260

>AT1G30760 | Symbols:  | FAD-binding Berberine family protein | chr1:10918321-10920441 FORWARD LENGTH=534

>AT1G24060 | Symbols:  | unknown protein; Has 7 Blast hits to 7 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 7; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:8509376-8510056 REVERSE LENGTH=122

>AT1G28560 | Symbols: SRD2 | snRNA activating complex family protein | chr1:10038197-10040382 REVERSE LENGTH=375

>AT1G26210 | Symbols: ATSOFL1, SOFL1 | SOB five-like 1 | chr1:9067524-9067970 FORWARD LENGTH=148

>AT1G24050 | Symbols:  | RNA-processing, Lsm domain | chr1:8507057-8508439 FORWARD LENGTH=188

>AT1G58360 | Symbols: AAP1, NAT2 | amino acid permease 1 | chr1:21676623-21680313 FORWARD LENGTH=485

>AT1G30757 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:10909287-10909391 FORWARD LENGTH=34

>AT1G24040 | Symbols:  | Acyl-CoA N-acyltransferases (NAT) superfamily protein | chr1:8505794-8506753 REVERSE LENGTH=319

>AT1G01230 | Symbols:  | ORMDL family protein | chr1:97620-99046 FORWARD LENGTH=157

>AT1G58340 | Symbols: ZF14 | MATE efflux family protein | chr1:21653162-21655117 FORWARD LENGTH=532

>AT1G33340 | Symbols:  | ENTH/ANTH/VHS superfamily protein | chr1:12087628-12088752 FORWARD LENGTH=374

>AT1G01240 | Symbols:  | unknown protein; INVOLVED IN: N-terminal protein myristoylation; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 11 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G46550.1); Has 95 Blast hits to 78 proteins in 16 species: Archae - 0; Bacteria - 2; Metazoa - 11; Fungi - 0; Plants - 80; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:100683-101678 FORWARD LENGTH=331

>AT1G58350 | Symbols: ZW18 | Putative serine esterase  family protein | chr1:21663131-21666827 REVERSE LENGTH=794

>AT1G33330 | Symbols:  | Class I peptide chain release factor | chr1:12084968-12086238 FORWARD LENGTH=257

>AT1G28760 | Symbols:  | Uncharacterized conserved protein (DUF2215) | chr1:10103158-10104588 FORWARD LENGTH=476

>AT1G24070 | Symbols: ATCSLA10, CSLA10 | cellulose synthase-like A10 | chr1:8516437-8519734 REVERSE LENGTH=552

>AT1G58330 | Symbols: ZW2 | transcription factor-related | chr1:21641150-21641827 FORWARD LENGTH=225

>AT1G30780 | Symbols:  | F-box associated ubiquitination effector family protein | chr1:10923919-10926561 REVERSE LENGTH=482

>AT1G33320 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:12081009-12083462 FORWARD LENGTH=412

>AT1G26220 | Symbols:  | Acyl-CoA N-acyltransferases (NAT) superfamily protein | chr1:9071157-9071750 FORWARD LENGTH=197

>AT1G26270 | Symbols:  | Phosphatidylinositol 3- and 4-kinase family protein | chr1:9089822-9091714 REVERSE LENGTH=630

>AT1G24010 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:8498960-8499464 REVERSE LENGTH=141

>AT1G24020 | Symbols: MLP423 | MLP-like protein 423 | chr1:8500653-8501458 REVERSE LENGTH=155

>AT1G48940 | Symbols: ENODL6, AtENODL6 | early nodulin-like protein 6 | chr1:18105808-18106422 REVERSE LENGTH=177

>AT1G78450 | Symbols:  | SOUL heme-binding family protein | chr1:29517147-29517910 REVERSE LENGTH=225

>AT1G24000 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:8496057-8496526 REVERSE LENGTH=122

>AT1G48950 | Symbols:  | C3HC zinc finger-like  | chr1:18107063-18110108 FORWARD LENGTH=594

>AT1G26300 | Symbols:  | BSD domain-containing protein | chr1:9096023-9099746 REVERSE LENGTH=316

>AT1G10150 | Symbols:  | Carbohydrate-binding protein | chr1:3326160-3327404 FORWARD LENGTH=414

>AT1G30750 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: hypocotyl, root, pollen tube; Has 1177 Blast hits to 607 proteins in 189 species: Archae - 0; Bacteria - 312; Metazoa - 195; Fungi - 185; Plants - 27; Viruses - 16; Other Eukaryotes - 442 (source: NCBI BLink). | chr1:10905050-10905688 REVERSE LENGTH=212

>AT1G26260 | Symbols: CIB5 | cryptochrome-interacting basic-helix-loop-helix 5 | chr1:9087214-9089035 FORWARD LENGTH=390

>AT1G30755 | Symbols:  | Protein of unknown function (DUF668) | chr1:10905991-10908773 REVERSE LENGTH=615

>AT1G26230 | Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:9072388-9075272 REVERSE LENGTH=611

>AT1G78430 | Symbols: RIP2 | ROP interactive partner 2 | chr1:29509605-29510679 FORWARD LENGTH=324

>AT1G24030 | Symbols:  | Protein kinase superfamily protein | chr1:8503394-8505195 FORWARD LENGTH=375

>AT1G78440 | Symbols: ATGA2OX1, GA2OX1 | Arabidopsis thaliana gibberellin 2-oxidase 1 | chr1:29511772-29512990 REVERSE LENGTH=329

>AT1G10140 | Symbols:  | Uncharacterised conserved protein UCP031279 | chr1:3322970-3323473 REVERSE LENGTH=167

>AT1G22470 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G72240.1); Has 1693 Blast hits to 236 proteins in 54 species: Archae - 0; Bacteria - 8; Metazoa - 451; Fungi - 116; Plants - 94; Viruses - 2; Other Eukaryotes - 1022 (source: NCBI BLink). | chr1:7932908-7933348 REVERSE LENGTH=146

>AT1G26250 | Symbols:  | Proline-rich extensin-like family protein | chr1:9083903-9085234 FORWARD LENGTH=443

>AT1G26240 | Symbols:  | Proline-rich extensin-like family protein | chr1:9078140-9079576 REVERSE LENGTH=478

>AT1G16025 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:5501505-5501959 FORWARD LENGTH=113
